date,decision,entry_time,entry_price,SL,TP,exit_time,exit_price,exit_reason,pnl_pts,pnl_usd,notes,pnl_usd_filled,equity,equity_peak,drawdown,year,month,equity_shift,cum_long,cum_short,cost_commission_usd,cost_spreadslip_usd,cost_total_usd,pnl_usd_net,equity_net,equity_net_peak,drawdown_net
2020-01-03,long,10:22,8798.09,8773.09,8873.09,12:00:00,8820.81,time,22.719999999999345,1817.5999999999476,Conservative tie-break; checks start after entry bar.,1817.5999999999476,101817.59999999995,101817.59999999995,0.0,2020,1,100000.0,1817.5999999999476,0.0,0.0,60.0,60.0,1757.5999999999476,101757.59999999995,101757.59999999995,0.0
2020-01-06,long,10:22,8798.25,8773.25,8873.25,12:00:00,8805.49,time,7.239999999999782,579.1999999999825,Conservative tie-break; checks start after entry bar.,579.1999999999825,102396.79999999993,102396.79999999993,0.0,2020,1,101817.59999999995,2396.79999999993,0.0,0.0,60.0,60.0,519.1999999999825,102276.79999999993,102276.79999999993,0.0
2020-01-07,long,10:22,8852.84,8827.84,8927.84,10:32:00,8827.84,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,100396.79999999993,102396.79999999993,2000.0,2020,1,102396.79999999993,396.79999999993015,0.0,0.0,60.0,60.0,-2060.0,100216.79999999993,102276.79999999993,2060.0
2020-01-08,long,10:22,8871.6,8846.6,8946.6,10:48:00,8846.6,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,98396.79999999993,102396.79999999993,4000.0,2020,1,100396.79999999993,-1603.2000000000698,0.0,0.0,60.0,60.0,-2060.0,98156.79999999993,102276.79999999993,4120.0
2020-01-09,none,10:22,8989.72,,,10:22,8989.72,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,98396.79999999993,102396.79999999993,4000.0,2020,1,98396.79999999993,-1603.2000000000698,0.0,0.0,0.0,0.0,0.0,98156.79999999993,102276.79999999993,4120.0
2020-01-10,none,10:22,9011.06,,,10:22,9011.06,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,98396.79999999993,102396.79999999993,4000.0,2020,1,98396.79999999993,-1603.2000000000698,0.0,0.0,0.0,0.0,0.0,98156.79999999993,102276.79999999993,4120.0
2020-01-13,long,10:22,9010.79,8985.79,9085.79,12:00:00,9043.9,time,33.10999999999876,2648.799999999901,Conservative tie-break; checks start after entry bar.,2648.799999999901,101045.59999999983,102396.79999999993,1351.200000000099,2020,1,98396.79999999993,1045.5999999998312,0.0,0.0,60.0,60.0,2588.799999999901,100745.59999999983,102276.79999999993,1531.200000000099
2020-01-14,none,10:22,9050.9,,,10:22,9050.9,no_trade,0.0,0.0,Middle zone at 10:22; no position.,0.0,101045.59999999983,102396.79999999993,1351.200000000099,2020,1,101045.59999999983,1045.5999999998312,0.0,0.0,0.0,0.0,0.0,100745.59999999983,102276.79999999993,1531.200000000099
2020-01-15,long,10:22,9061.09,9036.09,9136.09,12:00:00,9060.88,time,-0.21000000000094587,-16.80000000007567,Conservative tie-break; checks start after entry bar.,-16.80000000007567,101028.79999999976,102396.79999999993,1368.0000000001746,2020,1,101045.59999999983,1028.7999999997555,0.0,0.0,60.0,60.0,-76.80000000007567,100668.79999999976,102276.79999999993,1608.0000000001746
2020-01-16,long,10:22,9092.31,9067.31,9167.31,11:16:00,9067.31,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.,-2000.0,99028.79999999976,102396.79999999993,3368.0000000001746,2020,1,101028.79999999976,-971.2000000002445,0.0,0.0,60.0,60.0,-2060.0,98608.79999999976,102276.79999999993,3668.0000000001746
